LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-03-26 17:07:18,1900-01-00 00:00:00,,E8:2C:6D:8A:48:DB,-31, ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:19,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-28, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:19,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:19,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-30, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:19,1900-01-00 00:00:00,,7C:76:35:C9:E1:86,-45,,0.000000,0.000000,0.000,0.000,Client
2023-03-26 17:07:20,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-28, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:20,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-28, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:22,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:22,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-30, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:23,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-32, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:23,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:23,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:23,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-30, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-03-26 17:07:26,1900-01-00 00:00:00,baguette,E8:2C:6D:8A:48:DB,-36, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
